	0
2012-11-15	47053
2012-11-16	43308
2012-11-17	36362
2012-11-18	44025
2012-11-19	56288
2012-11-20	49509
2012-11-21	46398
2012-11-22	42268
2012-11-23	41017
2012-11-24	36947
2012-11-25	42586
2012-11-26	50945
2012-11-27	57114
2012-11-28	49065
2012-11-29	48335
2012-11-30	47645
2012-12-01	35007
2012-12-02	38644
2012-12-03	49147
2012-12-04	54484
2012-12-05	54415
2012-12-06	50710
2012-12-07	46912
2012-12-08	36603
2012-12-09	40013
2012-12-10	55687
2012-12-11	49043
2012-12-12	52100
2012-12-13	49696
2012-12-14	46729
2012-12-15	36627
2012-12-16	40478
2012-12-17	48826
2012-12-18	56685
2012-12-19	50953
2012-12-20	63116
2012-12-21	47448
2012-12-22	32657
2012-12-23	43986
2012-12-24	34915
2012-12-25	31974
2012-12-26	38291
2012-12-27	40120
2012-12-28	39090
2012-12-29	54360
2012-12-30	40828
2012-12-31	36631
2013-01-01	1283
