the	27016
and	26116
i	20139
to	18808
of	17739
a	14236
you	13212
my	12257
that	10814
in	10691
is	9327
not	8489
for	8032
with	7819
me	7567
it	7508
be	6919
your	6711
his	6711
this	6691
but	6096
he	6066
as	5807
have	5741
thou	5352
so	5152
him	5049
will	4840
what	4373
by	4303
thy	3969
all	3815
her	3754
are	3738
no	3677
do	3648
shall	3536
if	3396
we	3242
thee	3099
